id,name,type,power,pp,accuracy,priority,target_id,damage_class,effect_id,effect_chance
509,circle-throw,fighting,60,10,90,-6,10,physical,314,100
510,incinerate,fire,60,15,100,0,11,special,315,100
511,quash,dark,-1,15,100,0,10,status,316,100
512,acrobatics,flying,55,15,100,0,10,physical,318,100
513,reflect-type,normal,-1,15,100,0,10,status,319,100
514,retaliate,normal,70,5,100,0,10,physical,320,100
515,final-gambit,fighting,-1,5,100,0,10,special,321,100
516,bestow,normal,-1,15,100,0,10,status,324,100
517,inferno,fire,100,5,50,0,10,special,5,100
518,water-pledge,water,80,10,100,0,10,special,325,100
519,fire-pledge,fire,80,10,100,0,10,special,326,100
520,grass-pledge,grass,80,10,100,0,10,special,327,100
521,volt-switch,electric,70,20,100,0,10,special,229,100
522,struggle-bug,bug,50,20,100,0,11,special,72,100
523,bulldoze,ground,60,20,100,0,9,physical,71,100
524,frost-breath,ice,60,10,90,0,10,special,289,100
525,dragon-tail,dragon,60,10,90,-6,10,physical,314,100
526,work-up,normal,-1,30,100,0,7,status,328,100
527,electroweb,electric,55,15,95,0,11,special,21,100
528,wild-charge,electric,90,15,100,0,10,physical,49,100
529,drill-run,ground,80,10,95,0,10,physical,44,100
530,dual-chop,dragon,40,15,90,0,10,physical,45,100
531,heart-stamp,psychic,60,25,100,0,10,physical,32,30
532,horn-leech,grass,75,10,100,0,10,physical,4,100
533,sacred-sword,fighting,90,15,100,0,10,physical,304,100
534,razor-shell,water,75,10,95,0,10,physical,70,50
535,heat-crash,fire,-1,10,100,0,10,physical,292,100
536,leaf-tornado,grass,65,10,90,0,10,special,74,50
537,steamroller,bug,65,20,100,0,10,physical,151,30
538,cotton-guard,grass,-1,10,100,0,7,status,329,100
539,night-daze,dark,85,10,95,0,10,special,74,40
540,psystrike,psychic,100,10,100,0,10,special,283,100
541,tail-slap,normal,25,10,85,0,10,physical,30,100
542,hurricane,flying,110,10,70,0,10,special,334,30
543,head-charge,normal,120,15,100,0,10,physical,49,100
544,gear-grind,steel,50,15,85,0,10,physical,45,100
545,searing-shot,fire,100,5,100,0,9,special,5,30
546,techno-blast,normal,120,5,100,0,10,special,269,100
547,relic-song,normal,75,10,100,0,11,special,330,10
548,secret-sword,fighting,85,10,100,0,10,special,283,100
549,glaciate,ice,65,10,95,0,11,special,331,100
550,bolt-strike,electric,130,5,85,0,10,physical,7,20
551,blue-flare,fire,130,5,85,0,10,special,5,20
552,fiery-dance,fire,80,10,100,0,10,special,277,50
553,freeze-shock,ice,140,5,90,0,10,physical,332,30
554,ice-burn,ice,140,5,90,0,10,special,333,30
555,snarl,dark,55,15,95,0,11,special,72,100
556,icicle-crash,ice,85,10,90,0,10,physical,32,30
557,v-create,fire,180,5,95,0,10,physical,335,100
558,fusion-flare,fire,100,5,100,0,10,special,336,100
559,fusion-bolt,electric,100,5,100,0,10,physical,337,100
560,flying-press,fighting,100,10,95,0,10,physical,338,100
561,mat-block,fighting,-1,10,100,0,4,status,377,100
562,belch,poison,120,10,90,0,10,special,339,100
563,rototiller,ground,-1,10,100,0,14,status,340,100
564,sticky-web,bug,-1,20,100,0,6,status,341,100
565,fell-stinger,bug,50,25,100,0,10,physical,342,100
566,phantom-force,ghost,90,10,100,0,10,physical,273,100
567,trick-or-treat,ghost,-1,20,100,0,10,status,343,100
568,noble-roar,normal,-1,30,100,0,10,status,344,100
569,ion-deluge,electric,-1,25,100,1,12,status,345,100
570,parabolic-charge,electric,65,20,100,0,9,special,346,100
571,forests-curse,grass,-1,20,100,0,10,status,376,100
572,petal-blizzard,grass,90,15,100,0,9,physical,379,100
573,freeze-dry,ice,70,20,100,0,10,special,380,10
574,disarming-voice,fairy,40,15,100,0,11,special,381,100
575,parting-shot,dark,-1,20,100,0,10,status,347,100
576,topsy-turvy,dark,-1,20,100,0,10,status,348,100
577,draining-kiss,fairy,50,10,100,0,10,special,349,100
578,crafty-shield,fairy,-1,10,100,3,4,status,350,100
579,flower-shield,fairy,-1,10,100,0,14,status,351,100
580,grassy-terrain,grass,-1,10,100,0,12,status,352,100
581,misty-terrain,fairy,-1,10,100,0,12,status,353,100
582,electrify,electric,-1,20,100,0,10,status,354,100
583,play-rough,fairy,90,10,90,0,10,physical,69,10
584,fairy-wind,fairy,40,30,100,0,10,special,1,100
585,moonblast,fairy,95,15,100,0,10,special,72,30
586,boomburst,normal,140,10,100,0,9,special,379,100
587,fairy-lock,fairy,-1,10,100,0,12,status,355,100
588,kings-shield,steel,-1,10,100,4,7,status,356,100
589,play-nice,normal,-1,20,100,0,10,status,357,100
590,confide,normal,-1,20,100,0,10,status,358,100
591,diamond-storm,rock,100,5,95,0,11,physical,359,50
592,steam-eruption,water,110,5,95,0,10,special,5,30
593,hyperspace-hole,psychic,80,5,100,0,10,special,360,100
594,water-shuriken,water,15,20,100,1,10,special,361,100
595,mystical-fire,fire,75,10,100,0,10,special,72,100
596,spiky-shield,grass,-1,10,100,4,7,status,362,100
597,aromatic-mist,fairy,-1,20,100,0,3,status,363,100
598,eerie-impulse,electric,-1,15,100,0,10,status,62,100
599,venom-drench,poison,-1,20,100,0,11,status,364,100
600,powder,bug,-1,20,100,1,10,status,378,100
601,geomancy,fairy,-1,10,100,0,7,status,366,100
602,magnetic-flux,electric,-1,20,100,0,13,status,367,100
603,happy-hour,normal,-1,30,100,0,4,status,368,100
604,electric-terrain,electric,-1,10,100,0,12,status,369,100
605,dazzling-gleam,fairy,80,10,100,0,11,special,1,100
606,celebrate,normal,-1,40,100,0,7,status,370,100
607,hold-hands,normal,-1,40,100,0,3,status,371,100
608,baby-doll-eyes,fairy,-1,30,100,1,10,status,365,100
609,nuzzle,electric,20,20,100,0,10,physical,372,100
610,hold-back,normal,40,40,100,0,10,physical,102,100
611,infestation,bug,20,20,100,0,10,special,43,100
612,power-up-punch,fighting,40,20,100,0,10,physical,375,100
613,oblivion-wing,flying,80,10,100,0,10,special,349,100
614,thousand-arrows,ground,90,10,100,0,11,physical,373,100
615,thousand-waves,ground,90,10,100,0,11,physical,374,100
616,lands-wrath,ground,90,10,100,0,11,physical,1,100
617,light-of-ruin,fairy,140,5,90,0,10,special,270,100
618,origin-pulse,water,110,10,85,0,11,special,1,100
619,precipice-blades,ground,120,10,85,0,11,physical,1,100
620,dragon-ascent,flying,120,5,100,0,10,physical,230,100
621,hyperspace-fury,dark,100,5,100,0,10,physical,360,100
622,breakneck-blitz--physical,normal,-1,1,100,0,10,physical,1,100
623,breakneck-blitz--special,normal,-1,1,100,0,10,special,1,100
624,all-out-pummeling--physical,fighting,-1,1,100,0,10,physical,1,100
625,all-out-pummeling--special,fighting,-1,1,100,0,10,special,1,100
626,supersonic-skystrike--physical,flying,-1,1,100,0,10,physical,1,100
627,supersonic-skystrike--special,flying,-1,1,100,0,10,special,1,100
628,acid-downpour--physical,poison,-1,1,100,0,10,physical,1,100
629,acid-downpour--special,poison,-1,1,100,0,10,special,1,100
630,tectonic-rage--physical,ground,-1,1,100,0,10,physical,1,100
631,tectonic-rage--special,ground,-1,1,100,0,10,special,1,100
632,continental-crush--physical,rock,-1,1,100,0,10,physical,1,100
633,continental-crush--special,rock,-1,1,100,0,10,special,1,100
634,savage-spin-out--physical,bug,-1,1,100,0,10,physical,1,100
635,savage-spin-out--special,bug,-1,1,100,0,10,special,1,100
636,never-ending-nightmare--physical,ghost,-1,1,100,0,10,physical,1,100
637,never-ending-nightmare--special,ghost,-1,1,100,0,10,special,1,100
638,corkscrew-crash--physical,steel,-1,1,100,0,10,physical,1,100
639,corkscrew-crash--special,steel,-1,1,100,0,10,special,1,100
640,inferno-overdrive--physical,fire,-1,1,100,0,10,physical,1,100
641,inferno-overdrive--special,fire,-1,1,100,0,10,special,1,100
642,hydro-vortex--physical,water,-1,1,100,0,10,physical,1,100
643,hydro-vortex--special,water,-1,1,100,0,10,special,1,100
644,bloom-doom--physical,grass,-1,1,100,0,10,physical,1,100
645,bloom-doom--special,grass,-1,1,100,0,10,special,1,100
646,gigavolt-havoc--physical,electric,-1,1,100,0,10,physical,1,100
647,gigavolt-havoc--special,electric,-1,1,100,0,10,special,1,100
648,shattered-psyche--physical,psychic,-1,1,100,0,10,physical,1,100
649,shattered-psyche--special,psychic,-1,1,100,0,10,special,1,100
650,subzero-slammer--physical,ice,-1,1,100,0,10,physical,1,100
651,subzero-slammer--special,ice,-1,1,100,0,10,special,1,100
652,devastating-drake--physical,dragon,-1,1,100,0,10,physical,1,100
653,devastating-drake--special,dragon,-1,1,100,0,10,special,1,100
654,black-hole-eclipse--physical,dark,-1,1,100,0,10,physical,1,100
655,black-hole-eclipse--special,dark,-1,1,100,0,10,special,1,100
656,twinkle-tackle--physical,fairy,-1,1,100,0,10,physical,1,100
657,twinkle-tackle--special,fairy,-1,1,100,0,10,special,1,100
658,catastropika,electric,210,1,100,0,10,physical,1,100
659,shore-up,ground,-1,10,100,0,7,status,382,100
660,first-impression,bug,90,10,100,2,10,physical,383,100
661,baneful-bunker,poison,-1,10,100,4,7,status,384,100
662,spirit-shackle,ghost,80,10,100,0,10,physical,385,100
663,darkest-lariat,dark,85,10,100,0,10,physical,304,100
664,sparkling-aria,water,90,10,100,0,9,special,386,100
665,ice-hammer,ice,100,10,90,0,10,physical,219,100
666,floral-healing,fairy,-1,10,100,0,10,status,387,100
667,high-horsepower,ground,95,10,95,0,10,physical,1,100
668,strength-sap,grass,-1,10,100,0,10,status,388,100
669,solar-blade,grass,125,10,100,0,10,physical,152,100
670,leafage,grass,40,40,100,0,10,physical,1,100
671,spotlight,normal,-1,15,100,3,10,status,389,100
672,toxic-thread,poison,-1,20,100,0,10,status,390,100
673,laser-focus,normal,-1,30,100,0,7,status,391,100
674,gear-up,steel,-1,20,100,0,13,status,392,100
675,throat-chop,dark,80,15,100,0,10,physical,393,100
676,pollen-puff,bug,90,15,100,0,10,special,394,100
677,anchor-shot,steel,80,20,100,0,10,physical,385,100
678,psychic-terrain,psychic,-1,10,100,0,12,status,395,100
679,lunge,bug,80,15,100,0,10,physical,396,100
680,fire-lash,fire,80,15,100,0,10,physical,397,100
681,power-trip,dark,20,10,100,0,10,physical,306,100
682,burn-up,fire,130,5,100,0,10,special,398,100
683,speed-swap,psychic,-1,10,100,0,10,status,399,100
684,smart-strike,steel,70,10,100,0,10,physical,18,100
685,purify,poison,-1,20,100,0,10,status,400,100
686,revelation-dance,normal,90,15,100,0,10,special,401,100
687,core-enforcer,dragon,100,10,100,0,11,special,402,100
688,trop-kick,grass,70,15,100,0,10,physical,396,100
689,instruct,psychic,-1,15,100,0,10,status,403,100
690,beak-blast,flying,100,15,100,-3,10,physical,404,100
691,clanging-scales,dragon,110,5,100,0,11,special,405,100
692,dragon-hammer,dragon,90,15,100,0,10,physical,1,100
693,brutal-swing,dark,60,20,100,0,9,physical,406,100
694,aurora-veil,ice,-1,20,100,0,4,status,407,100
695,sinister-arrow-raid,ghost,180,1,100,0,10,physical,1,100
696,malicious-moonsault,dark,180,1,100,0,10,physical,1,100
697,oceanic-operetta,water,195,1,100,0,10,special,1,100
698,guardian-of-alola,fairy,-1,1,100,0,10,special,413,100
699,soul-stealing-7-star-strike,ghost,195,1,100,0,10,physical,1,100
700,stoked-sparksurfer,electric,175,1,100,0,10,special,7,100
701,pulverizing-pancake,normal,210,1,100,0,10,physical,1,100
702,extreme-evoboost,normal,-1,1,100,0,7,status,414,100
703,genesis-supernova,psychic,185,1,100,0,10,special,415,100
704,shell-trap,fire,150,5,100,-3,11,special,408,100
705,fleur-cannon,fairy,130,5,90,0,10,special,205,100
706,psychic-fangs,psychic,85,10,100,0,10,physical,187,100
707,stomping-tantrum,ground,75,10,100,0,10,physical,409,100
708,shadow-bone,ghost,85,10,100,0,10,physical,70,20
709,accelerock,rock,40,20,100,1,10,physical,104,100
710,liquidation,water,85,10,100,0,10,physical,70,20
711,prismatic-laser,psychic,160,10,100,0,10,special,81,100
712,spectral-thief,ghost,90,10,100,0,10,physical,410,100
713,sunsteel-strike,steel,100,5,100,0,10,physical,411,100
714,moongeist-beam,ghost,100,5,100,0,10,special,411,100
715,tearful-look,normal,-1,20,100,0,10,status,412,100
716,zing-zap,electric,80,10,100,0,10,physical,32,30
717,natures-madness,fairy,-1,10,90,0,10,special,41,100
718,multi-attack,normal,120,10,100,0,10,physical,269,100
719,10-000-000-volt-thunderbolt,electric,195,1,100,0,10,special,1,100
720,mind-blown,fire,150,5,100,0,9,special,420,100
721,plasma-fists,electric,100,15,100,0,10,physical,1,100
722,photon-geyser,psychic,100,5,100,0,10,special,1,100
723,light-that-burns-the-sky,psychic,200,1,100,0,10,special,416,100
724,searing-sunraze-smash,steel,200,1,100,0,10,physical,411,100
725,menacing-moonraze-maelstrom,ghost,200,1,100,0,10,special,411,100
726,lets-snuggle-forever,fairy,190,1,100,0,10,physical,417,100
727,splintered-stormshards,rock,190,1,100,0,10,physical,418,100
728,clangorous-soulblaze,dragon,185,1,100,0,11,special,419,100
729,zippy-zap,electric,80,10,100,2,10,physical,1,100
730,splishy-splash,water,90,15,100,0,11,special,1,30
731,floaty-fall,flying,90,15,95,0,10,physical,1,30
732,pika-papow,electric,-1,20,100,0,10,special,1,100
733,bouncy-bubble,water,60,20,100,0,10,special,1,100
734,buzzy-buzz,electric,60,20,100,0,10,special,1,100
735,sizzly-slide,fire,60,20,100,0,10,physical,1,100
736,glitzy-glow,psychic,80,15,95,0,10,special,1,100
737,baddy-bad,dark,80,15,95,0,10,special,1,100
738,sappy-seed,grass,100,10,90,0,10,physical,1,100
739,freezy-frost,ice,100,10,90,0,10,special,1,100
740,sparkly-swirl,fairy,120,5,85,0,10,special,1,100
741,veevee-volley,normal,-1,20,100,0,10,physical,1,100
742,double-iron-bash,steel,60,5,100,0,10,physical,45,30
743,max-guard,normal,-1,10,100,4,7,status,112,100
744,dynamax-cannon,dragon,100,5,100,0,10,special,421,100
745,snipe-shot,water,80,15,100,0,10,special,422,100
746,jaw-lock,dark,80,10,100,0,10,physical,423,100
747,stuff-cheeks,normal,-1,10,100,0,7,status,424,100
748,no-retreat,fighting,-1,5,100,0,7,status,425,100
749,tar-shot,rock,-1,15,100,0,10,status,426,100
750,magic-powder,psychic,-1,20,100,0,10,status,427,100
751,dragon-darts,dragon,50,10,100,0,10,physical,428,100
752,teatime,normal,-1,10,100,0,14,status,429,100
753,octolock,fighting,-1,15,100,0,10,status,430,100
754,bolt-beak,electric,85,10,100,0,10,physical,431,100
755,fishious-rend,water,85,10,100,0,10,physical,431,100
756,court-change,normal,-1,10,100,0,12,status,432,100
757,max-flare,fire,100,10,100,0,2,physical,1,100
758,max-flutterby,bug,10,10,100,0,2,physical,1,100
759,max-lightning,electric,10,10,100,0,2,physical,1,100
760,max-strike,normal,10,10,100,0,2,physical,1,100
761,max-knuckle,fighting,10,10,100,0,2,physical,1,100
762,max-phantasm,ghost,10,10,100,0,2,physical,1,100
763,max-hailstorm,ice,10,10,100,0,2,physical,1,100
764,max-ooze,poison,10,10,100,0,2,physical,1,100
765,max-geyser,water,10,10,100,0,2,physical,1,100
766,max-airstream,flying,10,10,100,0,2,physical,1,100
767,max-starfall,fairy,10,10,100,0,2,physical,1,100
768,max-wyrmwind,dragon,10,10,100,0,2,physical,1,100
769,max-mindstorm,psychic,10,10,100,0,2,physical,1,100
770,max-rockfall,rock,10,10,100,0,2,physical,1,100
771,max-quake,ground,10,10,100,0,2,physical,1,100
772,max-darkness,dark,10,10,100,0,2,physical,1,100
773,max-overgrowth,grass,10,10,100,0,2,physical,1,100
774,max-steelspike,steel,10,10,100,0,2,physical,1,100
775,clangorous-soul,dragon,-1,5,100,0,7,status,433,100
776,body-press,fighting,80,10,100,0,10,physical,434,100
777,decorate,fairy,-1,15,100,0,10,status,435,100
778,drum-beating,grass,80,10,100,0,10,physical,71,100
779,snap-trap,grass,35,15,100,0,10,physical,43,100
780,pyro-ball,fire,120,5,90,0,10,physical,5,10
781,behemoth-blade,steel,100,5,100,0,10,physical,436,100
782,behemoth-bash,steel,100,5,100,0,10,physical,436,100
783,aura-wheel,electric,110,10,100,0,10,physical,437,100
784,breaking-swipe,dragon,60,15,100,0,11,physical,396,100
785,branch-poke,grass,40,40,100,0,10,physical,1,100
786,overdrive,electric,80,10,100,0,11,special,439,100
787,apple-acid,grass,80,10,100,0,10,special,440,100
788,grav-apple,grass,80,10,100,0,10,physical,397,100
789,spirit-break,fairy,75,15,100,0,10,physical,72,100
790,strange-steam,fairy,90,10,95,0,10,special,77,20
791,life-dew,water,-1,10,100,0,13,status,441,100
792,obstruct,dark,-1,10,100,4,7,status,442,100
793,false-surrender,dark,80,10,100,0,10,physical,18,100
794,meteor-assault,fighting,150,5,100,0,10,physical,81,100
795,eternabeam,dragon,160,5,90,0,10,special,81,100
796,steel-beam,steel,140,5,95,0,10,special,420,100
797,expanding-force,psychic,80,10,100,0,10,special,1,100
798,steel-roller,steel,130,5,100,0,10,physical,1,100
799,scale-shot,dragon,25,20,90,0,10,physical,1,100
800,meteor-beam,rock,120,10,90,0,10,special,1,100
801,shell-side-arm,poison,90,10,100,0,10,special,1,20
802,misty-explosion,fairy,100,5,100,0,9,special,1,100
803,grassy-glide,grass,70,20,100,0,10,physical,1,100
804,rising-voltage,electric,70,20,100,0,10,special,1,100
805,terrain-pulse,normal,50,10,100,0,10,special,1,100
806,skitter-smack,bug,70,10,90,0,10,physical,1,100
807,burning-jealousy,fire,70,5,100,0,11,special,1,100
808,lash-out,dark,75,5,100,0,10,physical,1,100
809,poltergeist,ghost,110,5,90,0,10,physical,1,100
810,corrosive-gas,poison,-1,40,100,0,9,status,1,100
811,coaching,fighting,-1,10,100,0,13,status,1,100
812,flip-turn,water,60,20,100,0,10,physical,1,100
813,triple-axel,ice,20,10,90,0,10,physical,1,100
814,dual-wingbeat,flying,40,10,90,0,10,physical,1,100
815,scorching-sands,ground,70,10,100,0,10,special,1,30
816,jungle-healing,grass,-1,10,100,0,13,status,1,100
817,wicked-blow,dark,80,5,100,0,10,physical,1,100
818,surging-strikes,water,25,5,100,0,10,physical,1,100
819,thunder-cage,electric,80,15,90,0,10,special,1,100
820,dragon-energy,dragon,150,5,100,0,11,special,1,100
821,freezing-glare,psychic,90,10,100,0,10,special,1,10
822,fiery-wrath,dark,90,10,100,0,11,special,1,20
823,thunderous-kick,fighting,90,10,100,0,10,physical,1,100
824,glacial-lance,ice,130,5,100,0,11,physical,1,100
825,astral-barrage,ghost,120,5,100,0,11,special,1,100
826,eerie-spell,psychic,80,5,100,0,10,special,1,100
10001,shadow-rush,10002,55,,100,0,10,physical,10001,100
10002,shadow-blast,10002,80,,100,0,10,physical,44,100
10003,shadow-blitz,10002,40,,100,0,10,physical,1,100
10004,shadow-bolt,10002,75,,100,0,10,special,7,10
10005,shadow-break,10002,75,,100,0,10,physical,1,100
10006,shadow-chill,10002,75,,100,0,10,special,6,10
10007,shadow-end,10002,120,,60,0,10,physical,10002,100
10008,shadow-fire,10002,75,,100,0,10,special,5,10
10009,shadow-rave,10002,70,,100,0,6,special,1,100
10010,shadow-storm,10002,95,,100,0,6,special,1,100
10011,shadow-wave,10002,50,,100,0,6,special,1,100
10012,shadow-down,10002,-1,,100,0,6,status,60,100
10013,shadow-half,10002,-1,,100,0,12,special,10003,100
10014,shadow-hold,10002,-1,,100,0,6,status,107,100
10015,shadow-mist,10002,-1,,100,0,6,status,10004,100
10016,shadow-panic,10002,-1,,90,0,6,status,50,100
10017,shadow-shed,10002,-1,,100,0,12,status,10005,100
10018,shadow-sky,10002,-1,,100,0,12,status,10006,100
